; CSV, generated by atk_libsigrok4 1.0.0 on 2026-05-10 21:20:10
; Channels (14/16)
; ChannelsType: 32639
; Sample rate: 50 MHz
; Sample count: 2.384186 M
; Sampling time: 2026-05-10 21:19:48.397
SystemTime, Time(s), OE, LAT , A, B, C, D, E, R1, G1, B1, R2, G2, B2, CLK
'2026-05-10 21:19:48.463000000,0.000000000,0,0,1,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.463173700,0.000173700,0,0,1,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.463173720,0.000173720,0,0,0,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.463350280,0.000350280,0,0,1,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.463526840,0.000526840,0,0,0,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.463703780,0.000703780,0,0,1,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.463880360,0.000880360,0,0,1,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.463880380,0.000880380,0,0,0,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.464056940,0.001056940,0,0,1,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.464233520,0.001233520,0,0,0,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.464410100,0.001410100,0,0,1,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.464587060,0.001587060,0,0,1,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.464587080,0.001587080,0,0,0,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.464763640,0.001763640,0,0,1,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.464940200,0.001940200,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.464940220,0.001940220,0,0,0,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.465116800,0.002116800,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.465293360,0.002293360,0,0,0,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.465469940,0.002469940,0,0,1,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.465646880,0.002646880,0,0,1,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.465646900,0.002646900,0,0,0,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.465823460,0.002823460,0,0,1,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.466000040,0.003000040,1,1,1,1,1,1,1,1,1,1,1,1,1,1
